indexnummer,klachtnummer,naam,email,telefoon,hoofdcategorie,subcategorie,behandeltermijn,status,bron,gebied,wijk,tevredenheid,team,wijziging,datum,behandelsduur
127,KL23AACC3D,Sophie Meijer,sophie.meijer652@voorbeeld.nl,0644458953,Spelen en sport,Vervuiling sportveld,7 dagen,Afgehandelde klacht,telefoon,Stratum,Kortonjo,Ontevreden,Team Spelen & Sport,0,2025-02-25,14.0
128,KL3D39789C,Sophie Smit,sophie.smit872@hotmail.com,0610193053,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,internet,Centrum,TU-terrein,,Team Reiniging,0,2025-02-09,
129,KLA83D48D6,Sara Visser,sara.visser785@outlook.com,0633773739,Straatverlichting,Lantaarnpaal kapot,10 dagen,Heropend,app,Woensel Zuid,Begijnenbroek,,Team Verlichting,0,2025-02-08,
130,KLDE42DB47,Sara Koster,sara.koster514@gmail.com,0627207238,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Heropend,app,Woensel Zuid,Begijnenbroek,,Team Sociaal Domein,0,2025-01-30,
131,KLA8876847,Julia Jansen,julia.jansen246@gmail.com,0641321082,Groenvoorziening,Overhangend groen,14 dagen,Openstaand,app,Centrum,Binnenstad,,Team Groenvoorziening,0,2025-01-28,
132,KL46BEF125,Emma Koster,emma.koster997@gmail.com,0680665297,Groenvoorziening,Overhangend groen,14 dagen,Heropend,app,Centrum,Binnenstad,,Team Groenvoorziening,0,2025-02-01,
133,KL6642C561,Sophie Koster,sophie.koster335@outlook.com,0629600852,Afval en reiniging,Niet geleegde containers,3 dagen,In behandeling,app,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-18,
134,KL627A3AEC,Mila de Boer,mila.de boer345@hotmail.com,0629881146,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,In behandeling,internet,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-24,
135,KLC902D49F,Mila Bakker,mila.bakker754@gmail.com,0670382454,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,internet,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-21,
136,KL8E1200A6,Sophie de Boer,sophie.de boer171@gmail.com,0618459536,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Geannuleerd,telefoon,Woensel Noord,Dommelbeemd,,Team Wegen & Verkeer,0,2025-01-28,
137,KLB5857545,Sara Meijer,,0676922952,Parkeerproblemen,Foutparkeren,1 dag,Geannuleerd,telefoon,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-21,
138,KLCF9AE1D7,Julia Jansen,julia.jansen467@hotmail.com,0676241615,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,Afgehandelde klacht,app,Centrum,De Bergen,Ontevreden,Team Handhaving,0,2025-02-25,19.0
139,KLEB934045,Sophie Smit,sophie.smit530@hotmail.com,0641721625,Afval en reiniging,Zwerfvuil,5 dagen,In behandeling,app,Tongelre,De Laak,,Team Reiniging,0,2025-02-03,
140,KL8D9F02BD,Emma Smit,emma.smit892@gmail.com,,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,onbekend,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-01,
141,KLE4F4F3EA,Emma de Vries,,,Afval en reiniging,Zwerfvuil,5 dagen,Heropend,telefoon,Stratum,Oud-Stratum,,Team Reiniging,0,2025-02-08,
142,KLA7A0CF4C,Julia Mulder,,0684923972,Groenvoorziening,Overhangend groen,14 dagen,Geannuleerd,internet,Centrum,De Bergen,,Team Groenvoorziening,0,2025-01-28,
143,KLE82AC6BF,Emma de Boer,emma.de boer269@gmail.com,0655867406,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,app,Woensel Noord,Achtse Molen,,Team Reiniging,0,2025-01-31,
144,KL627CBF47,Sara Koster,sara.koster11@voorbeeld.nl,0653217118,Spelen en sport,Vervuiling sportveld,7 dagen,Heropend,app,Centrum,TU-terrein,,Team Spelen & Sport,0,2025-02-02,
145,KL48C6B996,Daan Bakker,daan.bakker227@hotmail.com,0661172717,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,In behandeling,internet,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-25,
146,KL8EE9DB4F,Liam Visser,,0671672820,Parkeerproblemen,Foutparkeren,1 dag,Openstaand,app,Woensel Noord,Aanschot,,Team Handhaving,0,2025-02-06,
147,KLDF3F27F6,Liam Smit,liam.smit825@gmail.com,0662964794,Woningtoezicht,Ongedierte,5 dagen,Heropend,internet,Strijp,Meerhoven,,Team Bouw & Toezicht,0,2025-02-12,
148,KL167CF82E,Liam Jansen,liam.jansen373@gmail.com,0612390576,Vandalisme,Graffiti,10 dagen,In behandeling,app,Woensel Noord,Ontginning,,Team Handhaving,0,2025-02-12,
149,KLD2EF094D,Emma Visser,emma.visser886@hotmail.com,0682015325,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Openstaand,app,Stratum,Putten,,Team Handhaving,0,2025-02-10,
150,KLB9522F67,Liam Bakker,liam.bakker477@voorbeeld.nl,0636618792,Afval en reiniging,Niet geleegde containers,3 dagen,Afgehandelde klacht,app,Strijp,Halve Maan,Tevreden,Team Reiniging,0,2025-01-30,11.0
151,KL310992E0,Julia van Dijk,julia.van dijk995@voorbeeld.nl,0691588569,Straatverlichting,Knipperende verlichting,10 dagen,Afgehandelde klacht,app,Strijp,Oud-Strijp,Neutraal,Team Verlichting,0,2025-02-06,15.0
152,KLF78A1D80,Emma Jansen,emma.jansen172@hotmail.com,0666934311,Afval en reiniging,Zwerfvuil,5 dagen,Openstaand,telefoon,Strijp,Halve Maan,,Team Reiniging,0,2025-02-25,
153,KL86A00B21,Mila Koster,mila.koster314@outlook.com,,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,In behandeling,app,Centrum,Fellenoord,,Team Handhaving,0,2025-01-28,
154,KL196D39D0,Julia Bakker,julia.bakker504@hotmail.com,0650460277,Vandalisme,Graffiti,10 dagen,Geannuleerd,app,Tongelre,De Laak,,Team Handhaving,0,2025-02-09,
155,KL3842651A,Daan de Vries,daan.de vries176@gmail.com,0662940368,Geluidsoverlast,Horeca,7 dagen,Openstaand,telefoon,Stratum,Putten,,Team Handhaving,0,2025-01-28,
156,KL5460BF8D,Noah Koster,,0625527800,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Afgehandelde klacht,formulier,Centrum,TU-terrein,Ontevreden,Team Wegen & Verkeer,0,2025-02-14,17.0
157,KL3B44509E,Sophie Bakker,sophie.bakker614@gmail.com,0634338378,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,internet,Woensel Noord,Aanschot,,Team Reiniging,0,2025-02-08,
158,KL71A41723,Emma Mulder,emma.mulder456@gmail.com,0628165236,Groenvoorziening,Overhangend groen,14 dagen,In behandeling,app,Stratum,Kortonjo,,Team Groenvoorziening,0,2025-02-17,
159,KLDE140C63,Tess van Dijk,tess.van dijk784@hotmail.com,0691259904,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-12,
160,KLD9892039,Emma Bakker,emma.bakker839@hotmail.com,0640073620,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,app,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-02-24,
161,KL71BB9216,Liam Smit,liam.smit304@gmail.com,0651721886,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,In behandeling,internet,Centrum,TU-terrein,,Team Sociaal Domein,0,2025-02-07,
162,KLBBB0F2D8,Tess Bakker,tess.bakker911@hotmail.com,0694410526,Illegale activiteiten,Hennepkwekerijen,1 dag (melden politie),Openstaand,app,Centrum,Binnenstad,,Team Handhaving,0,2025-02-14,
163,KL05A54827,Julia Jansen,julia.jansen286@outlook.com,,Parkeerproblemen,Foutparkeren,1 dag,Geannuleerd,internet,Centrum,Fellenoord,,Team Handhaving,0,2025-01-28,
164,KLCBE3526A,Daan van Dijk,daan.van dijk687@hotmail.com,0658947996,Groenvoorziening,Onkruidbestrijding,14 dagen,Afgehandelde klacht,app,Strijp,Halve Maan,Zeer ontevreden,Team Groenvoorziening,0,2025-02-19,9.0
165,KLE04C4E6F,Emma Mulder,emma.mulder261@outlook.com,0678274607,Jeugdzorg,Kindermishandeling (melding),1 dag,Heropend,app,Centrum,Binnenstad,,Team Sociaal Domein,0,2025-02-06,
166,KL8E80C38A,Julia Smit,julia.smit878@voorbeeld.nl,0641024761,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,app,Strijp,Halve Maan,,Team Reiniging,0,2025-02-20,
167,KL78565BE6,Emma Visser,emma.visser360@hotmail.com,0631346583,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,onbekend,Centrum,Witte Dame,,Team Reiniging,0,2025-02-11,
168,KLC24FF1E5,Sara Bakker,sara.bakker178@hotmail.com,0695380289,Parkeerproblemen,Foutparkeren,1 dag,Geannuleerd,app,Strijp,Oud-Strijp,,Team Handhaving,0,2025-01-28,
169,KLEADE0E6E,Tess Smit,tess.smit37@voorbeeld.nl,0659284998,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Afgehandelde klacht,app,Woensel Zuid,Begijnenbroek,Ontevreden,Team Wegen & Verkeer,0,2025-01-30,19.0
170,KLE7DE13D2,Noah Meijer,noah.meijer615@hotmail.com,0633594830,Openbaar vervoer,Beschadigde haltes,7 dagen,Afgehandelde klacht,telefoon,Centrum,De Bergen,Zeer ontevreden,Team Wegen & Verkeer,0,2025-02-21,2.0
171,KL1A97AA99,Tess de Boer,tess.de boer682@gmail.com,0636077938,Groenvoorziening,Omgevallen boom,2 dagen,Geannuleerd,internet,Strijp,Meerhoven,,Team Groenvoorziening,0,2025-02-19,
172,KL50D00BFF,Emma Smit,emma.smit185@gmail.com,0654033213,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Gestel,Oud Kasteel,Zeer ontevreden,Team Reiniging,0,2025-02-26,10.0
173,KL1ED026B8,Noah Mulder,noah.mulder100@voorbeeld.nl,0634403390,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Woensel Noord,Ontginning,,Team Reiniging,0,2025-02-12,
174,KL6F634BB7,Finn Meijer,finn.meijer593@outlook.com,0660158314,Afval en reiniging,Verstopte putten,3 dagen,Heropend,internet,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-11,
175,KL237940B2,Liam de Boer,liam.de boer787@gmail.com,0646772397,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Afgehandelde klacht,telefoon,Tongelre,Oud-Tongelre,Ontevreden,Team Wegen & Verkeer,0,2025-02-22,11.0
176,KLF064BE2F,Daan Visser,daan.visser355@outlook.com,0621177558,Parkeerproblemen,Foutparkeren,1 dag,Heropend,app,Centrum,Binnenstad,,Team Handhaving,0,2025-02-11,
177,KLC6CF74AB,Sophie Bakker,sophie.bakker435@hotmail.com,0629542335,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,internet,Strijp,Oud-Strijp,,Team Reiniging,0,2025-02-06,
178,KLB98C2357,Liam Smit,liam.smit91@voorbeeld.nl,0636806218,Woningtoezicht,Ongedierte,5 dagen,Afgehandelde klacht,telefoon,Stratum,Kortonjo,Ontevreden,Team Bouw & Toezicht,0,2025-02-01,4.0
179,KLF2C5CBC4,Noah Visser,noah.visser92@hotmail.com,0622555986,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Openstaand,app,Gestel,Oud-Gestel,,Team Wegen & Verkeer,0,2025-02-24,
180,KL1A0ADB44,Tess Jansen,tess.jansen778@hotmail.com,0637793129,Vandalisme,Graffiti,10 dagen,Openstaand,app,Woensel Noord,Aanschot,,Team Handhaving,0,2025-02-22,
181,KL0761A08F,Mila Smit,mila.smit589@hotmail.com,0630795824,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,telefoon,Woensel Zuid,Erp,,Team Handhaving,1,2025-02-15,
182,KLB64F03CA,Liam Bakker,liam.bakker690@gmail.com,0675165036,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,app,Centrum,De Bergen,,Team Reiniging,0,2025-01-31,
183,KL45686C77,Emma de Boer,emma.de boer299@hotmail.com,0629314948,Woningtoezicht,Achterstallig onderhoud,10 dagen,Afgehandelde klacht,app,Strijp,Oud-Strijp,Ontevreden,Team Bouw & Toezicht,0,2025-02-05,17.0
184,KL96F53FF2,Mila de Boer,mila.de boer810@voorbeeld.nl,0649061763,Vandalisme,Beschadigde objecten,5 dagen,In behandeling,formulier,Centrum,TU-terrein,,Team Handhaving,0,2025-02-09,
185,KL001DA90B,Liam Smit,liam.smit718@gmail.com,0663114327,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Heropend,formulier,Gestel,Oud-Gestel,,Team Wegen & Verkeer,0,2025-02-23,
186,KLF0493C7B,Sara de Vries,sara.de vries491@hotmail.com,,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,Openstaand,onbekend,Centrum,Fellenoord,,Team Handhaving,0,2025-02-24,
187,KL43AE9A61,Emma van Dijk,,,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Geannuleerd,app,Woensel Noord,Achtse Molen,,Team Wegen & Verkeer,0,2025-02-07,
188,KLCBEDABDA,Daan Jansen,daan.jansen226@gmail.com,0662304550,Straatverlichting,Knipperende verlichting,10 dagen,Heropend,app,Centrum,De Bergen,,Team Verlichting,0,2025-02-06,
189,KL7F8A5631,Mila Smit,mila.smit257@gmail.com,0648571452,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,internet,Centrum,TU-terrein,Ontevreden,Team Spelen & Sport,0,2025-02-11,14.0
190,KLFC6B3B89,Noah van Dijk,noah.van dijk489@outlook.com,0681400120,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,internet,Woensel Zuid,Oud-Woensel,,Team Reiniging,0,2025-02-17,
191,KL941F9974,Mila Bakker,mila.bakker730@outlook.com,,Afval en reiniging,Niet geleegde containers,3 dagen,Openstaand,telefoon,Strijp,Halve Maan,,Team Reiniging,0,2025-02-06,
192,KLAF17AEB0,Liam van Dijk,,,Afval en reiniging,Verstopte putten,3 dagen,Geannuleerd,formulier,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-24,
193,KL11CD8CD3,Mila Visser,,,Afval en reiniging,Dumping grofvuil,5 dagen,Heropend,telefoon,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-09,
194,KL6EDFE4D5,Tess Meijer,tess.meijer245@gmail.com,0647369241,Vandalisme,Graffiti,10 dagen,In behandeling,formulier,Centrum,Binnenstad,,Team Handhaving,0,2025-02-07,
195,KL0374CF60,Emma Visser,emma.visser989@hotmail.com,0613666931,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,Geannuleerd,app,Stratum,Putten,,Team Sociaal Domein,0,2025-02-21,
196,KL9EA5A2FD,Sara Bakker,sara.bakker229@outlook.com,,Groenvoorziening,Omgevallen boom,2 dagen,In behandeling,internet,Centrum,TU-terrein,,Team Groenvoorziening,0,2025-02-15,
197,KLBFC73306,Finn de Vries,,0672545771,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Strijp,Meerhoven,,Team Reiniging,0,2025-02-18,
198,KLE754128F,Noah de Boer,noah.de boer41@gmail.com,,Straatverlichting,Lantaarnpaal kapot,10 dagen,Afgehandelde klacht,internet,Strijp,Meerhoven,Ontevreden,Team Verlichting,0,2025-02-01,13.0
199,KL6F5F9302,Tess van Dijk,tess.van dijk461@hotmail.com,,Verkeer en wegen,Gat in de weg,5 dagen,Heropend,app,Gestel,Oud-Gestel,,Team Wegen & Verkeer,0,2025-02-04,
200,KL041100BA,Tess Koster,tess.koster717@gmail.com,0634122636,Openbaar vervoer,Beschadigde haltes,7 dagen,Heropend,formulier,Woensel Zuid,Begijnenbroek,,Team Wegen & Verkeer,0,2025-01-28,
201,KL80B67F07,Liam Koster,liam.koster165@outlook.com,0678266091,Spelen en sport,Vervuiling sportveld,7 dagen,Openstaand,app,Woensel Noord,Ontginning,,Team Spelen & Sport,0,2025-02-17,
202,KLEE0BD90E,Mila de Boer,,0637398253,Vandalisme,Graffiti,10 dagen,Afgehandelde klacht,formulier,Woensel Noord,Dommelbeemd,Ontevreden,Team Handhaving,0,2025-02-09,16.0
203,KL08B3ABC7,Daan van Dijk,daan.van dijk863@outlook.com,,Zorg en ondersteuning,Klachten over hulpverleners,10 dagen,Afgehandelde klacht,telefoon,Gestel,Rozenknopje,Tevreden,Team Sociaal Domein,0,2025-02-24,19.0
204,KL98A7294B,Finn Meijer,finn.meijer912@gmail.com,0647747578,Afval en reiniging,Dumping grofvuil,5 dagen,Openstaand,app,Gestel,Oud Kasteel,,Team Reiniging,0,2025-02-07,
205,KL2636D8E0,Finn Mulder,finn.mulder761@hotmail.com,0624701247,Bouwvergunning,Illegale aanbouw,14 dagen,Geannuleerd,app,Centrum,Fellenoord,,Team Bouw & Toezicht,0,2025-01-30,
206,KL3010827E,Noah Meijer,noah.meijer105@voorbeeld.nl,0685101966,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,onbekend,Woensel Zuid,Oud-Woensel,Zeer tevreden,Team Reiniging,0,2025-02-06,15.0
207,KL01C65B49,Sara Bakker,sara.bakker528@gmail.com,0685780892,Zorg en ondersteuning,Wmo/aanvragen,14 dagen,In behandeling,app,Stratum,Kortonjo,,Team Sociaal Domein,0,2025-02-01,
208,KL0020D729,Sophie Meijer,sophie.meijer834@gmail.com,0686781076,Bouwvergunning,Overlast door projecten,7 dagen,In behandeling,app,Woensel Noord,Aanschot,,Team Bouw & Toezicht,0,2025-02-16,
209,KL43C56F39,Daan van Dijk,daan.van dijk338@gmail.com,0698349276,Afval en reiniging,Niet geleegde containers,3 dagen,Geannuleerd,app,Centrum,TU-terrein,,Team Reiniging,0,2025-02-03,
210,KL6CB3B07F,Noah de Vries,noah.de vries466@gmail.com,0637887144,Dieren,Overlast door dieren,7 dagen,In behandeling,internet,Woensel Noord,Dommelbeemd,,Team Handhaving,0,2025-02-26,
211,KL69C44547,Liam van Dijk,liam.van dijk416@hotmail.com,0633610414,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Openstaand,app,Woensel Noord,Dommelbeemd,,Team Handhaving,0,2025-01-31,
212,KL5ACA27B1,Tess Meijer,tess.meijer467@gmail.com,,Openbaar vervoer,Klacht over dienstverlening,5 dagen,Heropend,app,Centrum,Binnenstad,,Team Wegen & Verkeer,0,2025-02-07,
213,KL61329CE1,Emma Jansen,emma.jansen167@hotmail.com,0684349159,Afval en reiniging,Verstopte putten,3 dagen,Heropend,internet,Tongelre,Oud-Tongelre,,Team Reiniging,0,2025-02-26,
214,KL3A59AAC7,Finn Jansen,,0613889656,Verkeer en wegen,Losliggende stoeptegel,10 dagen,In behandeling,app,Stratum,Putten,,Team Wegen & Verkeer,0,2025-02-04,
215,KL44AB4A21,Mila Smit,mila.smit720@hotmail.com,0649527943,Openbaar vervoer,Klacht over dienstverlening,5 dagen,In behandeling,telefoon,Woensel Noord,Achtse Molen,,Team Wegen & Verkeer,0,2025-01-30,
216,KLB51EE971,Liam de Vries,liam.de vries348@hotmail.com,0658498378,Afval en reiniging,Zwerfvuil,5 dagen,Geannuleerd,formulier,Tongelre,De Laak,,Team Sociaal Domein,1,2025-02-23,
217,KLC5852382,Daan Bakker,daan.bakker494@gmail.com,0692701799,Openbaar vervoer,Beschadigde haltes,7 dagen,In behandeling,internet,Gestel,Oud Kasteel,,Team Wegen & Verkeer,0,2025-02-21,
218,KLB5001098,Sara Meijer,sara.meijer60@hotmail.com,0659004064,Straatverlichting,Knipperende verlichting,10 dagen,Heropend,app,Strijp,Halve Maan,,Team Verlichting,0,2025-02-19,
219,KL119F9E08,Finn Smit,finn.smit604@outlook.com,,Afval en reiniging,Verstopte putten,3 dagen,Openstaand,formulier,Gestel,Oud-Gestel,,Team Reiniging,0,2025-01-29,
220,KL1856009A,Sara de Boer,sara.de boer958@hotmail.com,0663376549,Geluidsoverlast,Horeca,7 dagen,In behandeling,internet,Woensel Noord,Aanschot,,Team Handhaving,0,2025-02-02,
221,KL163244BC,Daan de Boer,daan.de boer303@hotmail.com,0681894408,Bouwvergunning,Overlast door projecten,7 dagen,In behandeling,app,Centrum,TU-terrein,,Team Bouw & Toezicht,0,2025-02-26,
222,KLE9563903,Sara Mulder,sara.mulder994@outlook.com,0697981775,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,app,Centrum,Witte Dame,Ontevreden,Team Reiniging,0,2025-02-06,10.0
223,KLAA4A6798,Noah Smit,,,Geluidsoverlast,Horeca,7 dagen,Heropend,onbekend,Gestel,Oud-Gestel,,Team Handhaving,0,2025-02-16,
224,KL93D2604C,Daan Smit,daan.smit184@outlook.com,,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Afgehandelde klacht,telefoon,Woensel Zuid,Oud-Woensel,Ontevreden,Team Wegen & Verkeer,0,2025-02-16,8.0
225,KLA6781813,Tess Bakker,,,Straatverlichting,Lantaarnpaal kapot,10 dagen,Geannuleerd,internet,Strijp,Halve Maan,,Team Verlichting,0,2025-02-25,
226,KLEE9C95BA,Finn Mulder,finn.mulder145@gmail.com,0661176985,Illegale activiteiten,Woningdelen zonder vergunning,7 dagen,Geannuleerd,app,Strijp,Oud-Strijp,,Team Handhaving,0,2025-02-05,
227,KL2308807E,Sophie de Boer,sophie.de boer676@hotmail.com,0681285982,Groenvoorziening,Omgevallen boom,2 dagen,Openstaand,app,Tongelre,De Laak,,Team Groenvoorziening,0,2025-02-09,
228,KL7298A669,Daan Bakker,daan.bakker831@hotmail.com,0693808905,Groenvoorziening,Onkruidbestrijding,14 dagen,Openstaand,telefoon,Strijp,Halve Maan,,Team Groenvoorziening,0,2025-02-03,
229,KLEA06B08D,Sophie van Dijk,sophie.van dijk412@gmail.com,0613612296,Verkeer en wegen,Gat in de weg,5 dagen,Geannuleerd,internet,Strijp,Oud-Strijp,,Team Wegen & Verkeer,0,2025-02-24,
230,KL8C4108DE,Daan Visser,,0695920015,Spelen en sport,Beschadigde speeltoestellen,5 dagen,Afgehandelde klacht,app,Stratum,Kortonjo,Zeer tevreden,Team Spelen & Sport,0,2025-02-01,10.0
231,KL4F36BDF3,Finn Meijer,finn.meijer54@voorbeeld.nl,0649025041,Geluidsoverlast,Bouw/sloopwerkzaamheden,7 dagen,In behandeling,app,Gestel,Oud Kasteel,,Team Handhaving,0,2025-02-01,
232,KL6429BFBF,Emma Koster,emma.koster397@gmail.com,0662271439,Parkeerproblemen,Foutparkeren,1 dag,Geannuleerd,app,Stratum,Oud-Stratum,,Team Handhaving,0,2025-02-11,
233,KL5C3A8392,Sophie Meijer,sophie.meijer258@hotmail.com,0666301323,Parkeerproblemen,Foutparkeren,1 dag,Heropend,formulier,Strijp,Halve Maan,,Team Handhaving,0,2025-02-16,
234,KL4905A61F,Tess de Vries,,,Groenvoorziening,Omgevallen boom,2 dagen,Afgehandelde klacht,formulier,Gestel,Oud Kasteel,Zeer tevreden,Team Groenvoorziening,0,2025-01-28,8.0
235,KLC10D6F30,Noah Visser,noah.visser229@outlook.com,0630981241,Afval en reiniging,Dumping grofvuil,5 dagen,Afgehandelde klacht,internet,Stratum,Oud-Stratum,Tevreden,Team Reiniging,0,2025-02-17,12.0
236,KL56482F21,Emma van Dijk,emma.van dijk296@outlook.com,0689600266,Afval en reiniging,Verstopte putten,3 dagen,In behandeling,telefoon,Woensel Noord,Dommelbeemd,,Team Reiniging,0,2025-02-26,
237,KL46F074B8,Mila van Dijk,mila.van dijk376@outlook.com,0650443688,Afval en reiniging,Verstopte putten,3 dagen,Afgehandelde klacht,app,Tongelre,De Laak,Zeer ontevreden,Team Reiniging,0,2025-01-28,8.0
238,KL772BBA35,Mila van Dijk,mila.van dijk786@outlook.com,0639566334,Dieren,Dode of gewonde dieren - in openbaar groen,2 dagen,Openstaand,app,Tongelre,Oud-Tongelre,,Team Verlichting,1,2025-02-20,
239,KLA73E8A74,Sara Smit,sara.smit427@voorbeeld.nl,0643107376,Woningtoezicht,Achterstallig onderhoud,10 dagen,In behandeling,app,Woensel Zuid,Begijnenbroek,,Team Bouw & Toezicht,0,2025-02-09,
240,KLA1007168,Emma Smit,emma.smit757@voorbeeld.nl,,Woningtoezicht,Ongedierte,5 dagen,Geannuleerd,internet,Woensel Noord,Achtse Molen,,Team Bouw & Toezicht,0,2025-02-10,
241,KLF8380D5E,Julia Jansen,julia.jansen604@hotmail.com,0669550159,Parkeerproblemen,Parkeerplaatsen geblokkeerd,1 dag,In behandeling,app,Woensel Noord,Aanschot,,Team Handhaving,0,2025-02-07,
242,KL7661CF1C,Julia Mulder,,0617289421,Afval en reiniging,Niet geleegde containers,3 dagen,Heropend,telefoon,Gestel,Rozenknopje,,Team Reiniging,0,2025-02-11,
243,KL4850D44C,Mila Meijer,mila.meijer635@hotmail.com,0646459566,Verkeer en wegen,Drukte op de weg,N.v.t. (signaal),Afgehandelde klacht,telefoon,Centrum,Witte Dame,Ontevreden,Team Wegen & Verkeer,0,2025-01-28,14.0
244,KL88C437AD,Sara de Vries,sara.de vries98@outlook.com,0617510300,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Geannuleerd,app,Strijp,Halve Maan,,Team Wegen & Verkeer,0,2025-02-21,
245,KLDF1ED0ED,Finn Smit,finn.smit457@gmail.com,0688090886,Openbaar vervoer,Beschadigde haltes,7 dagen,Openstaand,internet,Gestel,Oud-Gestel,,Team Wegen & Verkeer,0,2025-02-01,
246,KLAFF6E124,Daan Smit,daan.smit605@voorbeeld.nl,0680836739,Woningtoezicht,Ongedierte,5 dagen,Heropend,telefoon,Woensel Noord,Ontginning,,Team Bouw & Toezicht,0,2025-02-17,
247,KLDA150F06,Sara Jansen,sara.jansen410@voorbeeld.nl,0662664645,Verkeer en wegen,Losliggende stoeptegel,10 dagen,Openstaand,app,Strijp,Halve Maan,,Team Wegen & Verkeer,0,2025-02-22,
